,Rec-l@1,Rec-l@5,Rec-l@10,MAE,Rec-c@1,Rec-c@5,Rec-c@10
0,0.3370981269220017,0.5472742521666201,0.6101761252446184,2.763112663629504,0.4962258876153201,0.7455409561084708,0.8085546547386078
1,0.3200383077009746,0.5358571348093065,0.6049800011266971,2.7916637508978366,0.49895780519407357,0.7371415694890429,0.8000676018252493
2,0.3128841338493057,0.5276576371500113,0.5944115638515821,2.8305313766830307,0.48543136808559073,0.7300250398361029,0.7904051900751196
3,0.32327001356852103,0.5383876074174582,0.6023292627770239,2.8015407698556665,0.4941768430574401,0.7334916327453641,0.800599276345545
4,0.3210507962338719,0.531965593397652,0.596652330582355,2.803241150193224,0.4923282575845635,0.7327095199349064,0.7961757526444264
5,0.31516358463726885,0.5269985775248933,0.5879943100995733,2.8340816909117175,0.4917211948790896,0.7337695590327169,0.7961308677098151
mean,0.32158416048532396,0.5346901337443236,0.5994239322803083,2.8040285670284963,0.49314022606934627,0.735446379524434,0.7986555572231272
std,0.008521897102877412,0.007608316568622616,0.00797950344688762,0.026227459517349512,0.004616049015807399,0.0054458834322428295,0.006072167513669649
