,Rec-l@1,Rec-l@5,Rec-l@10,MAE,Rec-c@1,Rec-c@5,Rec-c@10
0,0.35472014444157857,0.57009285530049,0.6381222594789786,1.6987326412678134,0.694206216146505,0.8806906112973949,0.915334021150374
1,0.3509485094850949,0.5663159572772198,0.6370317232584091,1.7377990489140587,0.6905946118284713,0.8792603220149848,0.9131197194324885
2,0.34572603263641,0.5646035186129525,0.6340515043345232,1.7094239551518902,0.6831814125446201,0.8734542325344212,0.9082579041305456
3,0.3495264677885158,0.5654636098159114,0.6379697003920556,1.7184324041882857,0.6909214114002679,0.876865491037576,0.9111985931172456
4,0.34620998345820764,0.5613505886931984,0.6298692874055334,1.7597341448081185,0.6895819143070286,0.8769258214135124,0.9107067561869547
5,0.35098580817220687,0.5654824268977998,0.6353620979775851,1.7324263213017435,0.684573133949265,0.875734196907642,0.9113883861955107
mean,0.349686157663669,0.565551492766262,0.6354010954745141,1.7260914192719847,0.6888431166960264,0.8771551125342553,0.9116675633688532
std,0.003359033332375039,0.002820181667530576,0.0031332165355484345,0.021881499780365764,0.0041709315088621305,0.0025606103757671206,0.002383210836245895
