,Rec-l@1,Rec-l@5,Rec-l@10,MAE,Rec-c@1,Rec-c@5,Rec-c@10
0,0.3371,0.5473,0.6102,2.7631,0.4962,0.7455,0.8086
1,0.3200,0.5359,0.6050,2.7917,0.4990,0.7371,0.8001
2,0.3129,0.5277,0.5944,2.8305,0.4854,0.7300,0.7904
3,0.3233,0.5384,0.6023,2.8015,0.4942,0.7335,0.8006
4,0.3211,0.5320,0.5967,2.8032,0.4923,0.7327,0.7962
5,0.3152,0.5270,0.5880,2.8341,0.4917,0.7338,0.7961
mean,0.3216,0.5347,0.5994,2.8040,0.4931,0.7354,0.7987
std,0.0085,0.0076,0.0080,0.0262,0.0046,0.0054,0.0061
